Question	Answer	Public
why not	smalltalk/confirmation.yes	FALSE
please do	smalltalk/confirmation.yes	FALSE
sure is	smalltalk/confirmation.yes	FALSE
I agree	smalltalk/confirmation.yes	FALSE
I don't mind	smalltalk/confirmation.yes	FALSE
certainly	smalltalk/confirmation.yes	FALSE
exactly	smalltalk/confirmation.yes	FALSE
yes I agree	smalltalk/confirmation.yes	FALSE
I think so	smalltalk/confirmation.yes	FALSE
yes it is	smalltalk/confirmation.yes	FALSE
right	smalltalk/confirmation.yes	FALSE
okay then	smalltalk/confirmation.yes	FALSE
yes of course	smalltalk/confirmation.yes	FALSE
yes I do	smalltalk/confirmation.yes	FALSE
that s okay	smalltalk/confirmation.yes	FALSE
I do	smalltalk/confirmation.yes	FALSE
yup	smalltalk/confirmation.yes	FALSE
ya	smalltalk/confirmation.yes	FALSE
oh yes	smalltalk/confirmation.yes	FALSE
yes sure	smalltalk/confirmation.yes	FALSE
obviously	smalltalk/confirmation.yes	FALSE
k	smalltalk/confirmation.yes	FALSE
sure why not	smalltalk/confirmation.yes	FALSE
yeah right	smalltalk/confirmation.yes	FALSE
yeah of course	smalltalk/confirmation.yes	FALSE
absolutely	smalltalk/confirmation.yes	FALSE
yes indeed	smalltalk/confirmation.yes	FALSE
ok sure	smalltalk/confirmation.yes	FALSE
ok yes	smalltalk/confirmation.yes	FALSE
yes correct	smalltalk/confirmation.yes	FALSE
ok thank you	smalltalk/confirmation.yes	FALSE
sure thing	smalltalk/confirmation.yes	FALSE
ye	smalltalk/confirmation.yes	FALSE
confirm	smalltalk/confirmation.yes	FALSE
yep	smalltalk/confirmation.yes	FALSE
looks good	smalltalk/confirmation.yes	FALSE
yes thank you	smalltalk/confirmation.yes	FALSE
definitely	smalltalk/confirmation.yes	FALSE
yes right	smalltalk/confirmation.yes	FALSE
yes I would like to	smalltalk/confirmation.yes	FALSE
alrighty	smalltalk/confirmation.yes	FALSE
yes definitely	smalltalk/confirmation.yes	FALSE
yeh	smalltalk/confirmation.yes	FALSE
yes it is correct	smalltalk/confirmation.yes	FALSE
yeah that's right	smalltalk/confirmation.yes	FALSE
ok you can	smalltalk/confirmation.yes	FALSE
yap	smalltalk/confirmation.yes	FALSE
yes you may	smalltalk/confirmation.yes	FALSE
confirmed	smalltalk/confirmation.yes	FALSE
of course why not	smalltalk/confirmation.yes	FALSE
yes that's fine	smalltalk/confirmation.yes	FALSE
affirmative	smalltalk/confirmation.yes	FALSE
yeah go ahead	smalltalk/confirmation.yes	FALSE
yeah I'm sure	smalltalk/confirmation.yes	FALSE
okay sounds good	smalltalk/confirmation.yes	FALSE
okay that's fine	smalltalk/confirmation.yes	FALSE
yeah exactly	smalltalk/confirmation.yes	FALSE
that is ok	smalltalk/confirmation.yes	FALSE
this is correct	smalltalk/confirmation.yes	FALSE
ok go ahead	smalltalk/confirmation.yes	FALSE
yes this is correct	smalltalk/confirmation.yes	FALSE
nevermind its okay	smalltalk/confirmation.yes	FALSE
okey	smalltalk/confirmation.yes	FALSE
yes for sure	smalltalk/confirmation.yes	FALSE
all right	smalltalk/confirmation.yes	FALSE
are you sure	smalltalk/agent.sure	FALSE
are you sure right now	smalltalk/agent.sure	FALSE
are you sure today	smalltalk/agent.sure	FALSE
are you sure now	smalltalk/agent.sure	FALSE
are you sure tonight	smalltalk/agent.sure	FALSE
why aren't you talking to me	smalltalk/agent.talk_to_me	FALSE
do you want to chat with me	smalltalk/agent.talk_to_me	FALSE
will you talk to me	smalltalk/agent.talk_to_me	FALSE
talk to me	smalltalk/agent.talk_to_me	FALSE
are you going to talk to me	smalltalk/agent.talk_to_me	FALSE
are you talking to me	smalltalk/agent.talk_to_me	FALSE
can you chat with me	smalltalk/agent.talk_to_me	FALSE
can you speak with me	smalltalk/agent.talk_to_me	FALSE
can you talk to me	smalltalk/agent.talk_to_me	FALSE
can you talk with me	smalltalk/agent.talk_to_me	FALSE
say	smalltalk/agent.talk_to_me	FALSE
talk	smalltalk/agent.talk_to_me	FALSE
chat with me	smalltalk/agent.talk_to_me	FALSE
just chat with me	smalltalk/agent.talk_to_me	FALSE
speak to me	smalltalk/agent.talk_to_me	FALSE
speak with me	smalltalk/agent.talk_to_me	FALSE
talk with me	smalltalk/agent.talk_to_me	FALSE
why don't you talk to me	smalltalk/agent.talk_to_me	FALSE
you can talk to me	smalltalk/agent.talk_to_me	FALSE
are you there	smalltalk/agent.there	FALSE
you are there	smalltalk/agent.there	FALSE
are you near me	smalltalk/agent.there	FALSE
are you here	smalltalk/agent.there	FALSE
are you still there	smalltalk/agent.there	FALSE
you are here	smalltalk/agent.there	FALSE
you still there	smalltalk/agent.there	FALSE
are you still here	smalltalk/agent.there	FALSE
pretty bad	smalltalk/appraisal.bad	FALSE
not good enough	smalltalk/appraisal.bad	FALSE
that was lame	smalltalk/appraisal.bad	FALSE
that was terrible	smalltalk/appraisal.bad	FALSE
it is bad	smalltalk/appraisal.bad	FALSE
that's bad	smalltalk/appraisal.bad	FALSE
this is bad	smalltalk/appraisal.bad	FALSE
not good	smalltalk/appraisal.bad	FALSE
I'm afraid it's bad	smalltalk/appraisal.bad	FALSE
no it's bad	smalltalk/appraisal.bad	FALSE
that was awful	smalltalk/appraisal.bad	FALSE
bad	smalltalk/appraisal.bad	FALSE
so bad	smalltalk/appraisal.bad	FALSE
this is too bad	smalltalk/appraisal.bad	FALSE
terrible	smalltalk/appraisal.bad	FALSE
horrible	smalltalk/appraisal.bad	FALSE
horrific	smalltalk/appraisal.bad	FALSE
abysmal	smalltalk/appraisal.bad	FALSE
it's bad	smalltalk/appraisal.bad	FALSE
no good	smalltalk/appraisal.bad	FALSE
that was bad	smalltalk/appraisal.bad	FALSE
that was horrible	smalltalk/appraisal.bad	FALSE
that's lame	smalltalk/appraisal.bad	FALSE
that's not good	smalltalk/appraisal.bad	FALSE
that's terrible	smalltalk/appraisal.bad	FALSE
that's too bad	smalltalk/appraisal.bad	FALSE
this is not good	smalltalk/appraisal.bad	FALSE
too bad	smalltalk/appraisal.bad	FALSE
very bad	smalltalk/appraisal.bad	FALSE
bad girl	smalltalk/appraisal.bad	FALSE
it's not good	smalltalk/appraisal.bad	FALSE
not so good	smalltalk/appraisal.bad	FALSE
it's very bad	smalltalk/appraisal.bad	FALSE
it's too bad	smalltalk/appraisal.bad	FALSE
that's not good enough	smalltalk/appraisal.bad	FALSE
well too bad	smalltalk/appraisal.bad	FALSE
bad very bad	smalltalk/appraisal.bad	FALSE
it's so bad	smalltalk/appraisal.bad	FALSE
really bad	smalltalk/appraisal.bad	FALSE
it's really bad	smalltalk/appraisal.bad	FALSE
bad idea	smalltalk/appraisal.bad	FALSE
that is bad	smalltalk/appraisal.bad	FALSE
that was not good	smalltalk/appraisal.bad	FALSE
it's not so good	smalltalk/appraisal.bad	FALSE
not a good one	smalltalk/appraisal.bad	FALSE
oh that's not good	smalltalk/appraisal.bad	FALSE
not too good	smalltalk/appraisal.bad	FALSE
so lame	smalltalk/appraisal.bad	FALSE
that's really bad	smalltalk/appraisal.bad	FALSE
it is too bad	smalltalk/appraisal.bad	FALSE
bad really bad	smalltalk/appraisal.bad	FALSE
so cool	smalltalk/appraisal.good	FALSE
cool	smalltalk/appraisal.good	FALSE
that is good	smalltalk/appraisal.good	FALSE
glad to hear that	smalltalk/appraisal.good	FALSE
that's very nice of you	smalltalk/appraisal.good	FALSE
terrific	smalltalk/appraisal.good	FALSE
it's amazing	smalltalk/appraisal.good	FALSE
that's awesome	smalltalk/appraisal.good	FALSE
perfect	smalltalk/appraisal.good	FALSE
excellent	smalltalk/appraisal.good	FALSE
that's great	smalltalk/appraisal.good	FALSE
it's good	smalltalk/appraisal.good	FALSE
it's great	smalltalk/appraisal.good	FALSE
fine	smalltalk/appraisal.good	FALSE
good	smalltalk/appraisal.good	FALSE
nice	smalltalk/appraisal.good	FALSE
that's fine	smalltalk/appraisal.good	FALSE
very good	smalltalk/appraisal.good	FALSE
amazing	smalltalk/appraisal.good	FALSE
fantastic	smalltalk/appraisal.good	FALSE
great	smalltalk/appraisal.good	FALSE
good very good	smalltalk/appraisal.good	FALSE
that's very good	smalltalk/appraisal.good	FALSE
really good	smalltalk/appraisal.good	FALSE
it is fine	smalltalk/appraisal.good	FALSE
it is good	smalltalk/appraisal.good	FALSE
it's perfect	smalltalk/appraisal.good	FALSE
much better	smalltalk/appraisal.good	FALSE
not bad	smalltalk/appraisal.good	FALSE
not too bad	smalltalk/appraisal.good	FALSE
it's very good	smalltalk/appraisal.good	FALSE
marvelous	smalltalk/appraisal.good	FALSE
that's nice	smalltalk/appraisal.good	FALSE
pleasant	smalltalk/appraisal.good	FALSE
pretty good	smalltalk/appraisal.good	FALSE
really nice	smalltalk/appraisal.good	FALSE
splendid	smalltalk/appraisal.good	FALSE
straight	smalltalk/appraisal.good	FALSE
super	smalltalk/appraisal.good	FALSE
super fantastic	smalltalk/appraisal.good	FALSE
sweet	smalltalk/appraisal.good	FALSE
really well	smalltalk/appraisal.good	FALSE
very well	smalltalk/appraisal.good	FALSE
that is awesome	smalltalk/appraisal.good	FALSE
that is nice	smalltalk/appraisal.good	FALSE
that is wonderful	smalltalk/appraisal.good	FALSE
that was amazing	smalltalk/appraisal.good	FALSE
that was awesome	smalltalk/appraisal.good	FALSE
that was cute	smalltalk/appraisal.good	FALSE
that was pretty good	smalltalk/appraisal.good	FALSE
that was very good	smalltalk/appraisal.good	FALSE
that's a good idea	smalltalk/appraisal.good	FALSE
that's a good thing	smalltalk/appraisal.good	FALSE
that's amazing	smalltalk/appraisal.good	FALSE
that's awesome thank you	smalltalk/appraisal.good	FALSE
that's better	smalltalk/appraisal.good	FALSE
that's cute	smalltalk/appraisal.good	FALSE
that's fantastic	smalltalk/appraisal.good	FALSE
that's much better	smalltalk/appraisal.good	FALSE
that's nice of you	smalltalk/appraisal.good	FALSE
that's not bad	smalltalk/appraisal.good	FALSE
that's perfect	smalltalk/appraisal.good	FALSE
that's pretty good	smalltalk/appraisal.good	FALSE
that's really good	smalltalk/appraisal.good	FALSE
that's really nice	smalltalk/appraisal.good	FALSE
that's sweet of you	smalltalk/appraisal.good	FALSE
that's very nice	smalltalk/appraisal.good	FALSE
that's wonderful	smalltalk/appraisal.good	FALSE
this is awesome	smalltalk/appraisal.good	FALSE
this is good	smalltalk/appraisal.good	FALSE
this is great	smalltalk/appraisal.good	FALSE
very nice	smalltalk/appraisal.good	FALSE
very then	smalltalk/appraisal.good	FALSE
wonderful	smalltalk/appraisal.good	FALSE
I'm glad to hear that	smalltalk/appraisal.good	FALSE
ok good	smalltalk/appraisal.good	FALSE
good for you	smalltalk/appraisal.good	FALSE
good to know	smalltalk/appraisal.good	FALSE
glad to hear it	smalltalk/appraisal.good	FALSE
so good	smalltalk/appraisal.good	FALSE
so sweet of you	smalltalk/appraisal.good	FALSE
it was good	smalltalk/appraisal.good	FALSE
oh well	smalltalk/appraisal.good	FALSE
good thing	smalltalk/appraisal.good	FALSE
that was good	smalltalk/appraisal.good	FALSE
it's awesome	smalltalk/appraisal.good	FALSE
okay good	smalltalk/appraisal.good	FALSE
no it's okay	smalltalk/appraisal.good	FALSE
that's fine	smalltalk/appraisal.good	FALSE
no worries	smalltalk/appraisal.no_problem	FALSE
no probs	smalltalk/appraisal.no_problem	FALSE
no problem	smalltalk/appraisal.no_problem	FALSE
there's no problem	smalltalk/appraisal.no_problem	FALSE
sure no problem	smalltalk/appraisal.no_problem	FALSE
no problem about that	smalltalk/appraisal.no_problem	FALSE
don't worry	smalltalk/appraisal.no_problem	FALSE
don't worry there's no problem	smalltalk/appraisal.no_problem	FALSE
you helped a lot thank you	smalltalk/appraisal.thank_you	FALSE
appreciate your help	smalltalk/appraisal.thank_you	FALSE
cheers	smalltalk/appraisal.thank_you	FALSE
thank you	smalltalk/appraisal.thank_you	FALSE
thanks	smalltalk/appraisal.thank_you	FALSE
thanks a lot	smalltalk/appraisal.thank_you	FALSE
terrific thank you	smalltalk/appraisal.thank_you	FALSE
great thank you	smalltalk/appraisal.thank_you	FALSE
thanks so much	smalltalk/appraisal.thank_you	FALSE
thank you so much	smalltalk/appraisal.thank_you	FALSE
thanks for your help	smalltalk/appraisal.thank_you	FALSE
thank you for your help	smalltalk/appraisal.thank_you	FALSE
nice thank you	smalltalk/appraisal.thank_you	FALSE
I appreciate it	smalltalk/appraisal.thank_you	FALSE
I thank you	smalltalk/appraisal.thank_you	FALSE
thank you that will be all	smalltalk/appraisal.thank_you	FALSE
thanks buddy	smalltalk/appraisal.thank_you	FALSE
thanks love	smalltalk/appraisal.thank_you	TRUE
thank you my friend	smalltalk/appraisal.thank_you	TRUE
well thanks	smalltalk/appraisal.thank_you	TRUE
very good thank you	smalltalk/appraisal.thank_you	TRUE
good thanks	smalltalk/appraisal.thank_you	TRUE
thanks again	smalltalk/appraisal.thank_you	TRUE
thank you again	smalltalk/appraisal.thank_you	TRUE
all thank you	smalltalk/appraisal.thank_you	TRUE
alright thank you	smalltalk/appraisal.thank_you	TRUE
alright thanks	smalltalk/appraisal.thank_you	TRUE
no thank you that's all	smalltalk/appraisal.thank_you	TRUE
perfect thank you	smalltalk/appraisal.thank_you	TRUE
so nice of you	smalltalk/appraisal.thank_you	TRUE
well thank you	smalltalk/appraisal.thank_you	TRUE
thnx	smalltalk/appraisal.thank_you	TRUE
thanx	smalltalk/appraisal.thank_you	TRUE
that's my pleasure	smalltalk/appraisal.welcome	FALSE
my pleasure	smalltalk/appraisal.welcome	FALSE
anytime	smalltalk/appraisal.welcome	FALSE
welcome	smalltalk/appraisal.welcome	FALSE
you're welcome	smalltalk/appraisal.welcome	FALSE
sure welcome	smalltalk/appraisal.welcome	FALSE
welcome here	smalltalk/appraisal.welcome	FALSE
you're so welcome	smalltalk/appraisal.welcome	FALSE
anything you want	smalltalk/appraisal.welcome	FALSE
good job	smalltalk/appraisal.well_done	FALSE
great job	smalltalk/appraisal.well_done	FALSE
way to go	smalltalk/appraisal.well_done	FALSE
well done	smalltalk/appraisal.well_done	FALSE
nice work	smalltalk/appraisal.well_done	FALSE
great work	smalltalk/appraisal.well_done	FALSE
amazing work	smalltalk/appraisal.well_done	FALSE
bravo	smalltalk/appraisal.well_done	FALSE
good work	smalltalk/appraisal.well_done	FALSE
cancel	smalltalk/confirmation.cancel	FALSE
abort	smalltalk/confirmation.cancel	FALSE
annul	smalltalk/confirmation.cancel	FALSE
cancel it	smalltalk/confirmation.cancel	FALSE
cancel request	smalltalk/confirmation.cancel	FALSE
cancelled	smalltalk/confirmation.cancel	FALSE
dismiss	smalltalk/confirmation.cancel	FALSE
dismissed	smalltalk/confirmation.cancel	FALSE
disregard	smalltalk/confirmation.cancel	FALSE
disregard that	smalltalk/confirmation.cancel	FALSE
skip	smalltalk/confirmation.cancel	FALSE
skip it	smalltalk/confirmation.cancel	FALSE
cancel everything	smalltalk/confirmation.cancel	FALSE
cancel all	smalltalk/confirmation.cancel	FALSE
forget about it	smalltalk/confirmation.cancel	FALSE
forget	smalltalk/confirmation.cancel	FALSE
don't do that	smalltalk/confirmation.cancel	FALSE
stop	smalltalk/confirmation.cancel	FALSE
just forget it	smalltalk/confirmation.cancel	FALSE
forget that	smalltalk/confirmation.cancel	FALSE
discard	smalltalk/confirmation.cancel	FALSE
forget this	smalltalk/confirmation.cancel	FALSE
just forget about it	smalltalk/confirmation.cancel	FALSE
forget about that	smalltalk/confirmation.cancel	FALSE
i said cancel	smalltalk/confirmation.cancel	FALSE
just cancel it	smalltalk/confirmation.cancel	FALSE
nothing cancel	smalltalk/confirmation.cancel	FALSE
just stop it	smalltalk/confirmation.cancel	FALSE
no cancel cancel	smalltalk/confirmation.cancel	FALSE
no just cancel	smalltalk/confirmation.cancel	FALSE
cancel my request	smalltalk/confirmation.cancel	FALSE
can you cancel that	smalltalk/confirmation.cancel	FALSE
cancel all that	smalltalk/confirmation.cancel	FALSE
cancel this request	smalltalk/confirmation.cancel	FALSE
no cancel this	smalltalk/confirmation.cancel	FALSE
no cancel everything	smalltalk/confirmation.cancel	FALSE
no stop	smalltalk/confirmation.cancel	FALSE
just forget	smalltalk/confirmation.cancel	FALSE
i want to cancel	smalltalk/confirmation.cancel	FALSE
nevermind forget about it	smalltalk/confirmation.cancel	FALSE
no just cancel it	smalltalk/confirmation.cancel	FALSE
nothing just forget it	smalltalk/confirmation.cancel	FALSE
i said cancel it	smalltalk/confirmation.cancel	FALSE
cancel the whole thing	smalltalk/confirmation.cancel	FALSE
can you cancel it	smalltalk/confirmation.cancel	FALSE
so cancel	smalltalk/confirmation.cancel	FALSE
i said forget it	smalltalk/confirmation.cancel	FALSE
cancel all this	smalltalk/confirmation.cancel	FALSE
forget it nevermind	smalltalk/confirmation.cancel	FALSE
stop it	smalltalk/confirmation.cancel	FALSE
i want to cancel it	smalltalk/confirmation.cancel	FALSE
i would like to cancel	smalltalk/confirmation.cancel	FALSE
now cancel	smalltalk/confirmation.cancel	FALSE
cancel now	smalltalk/confirmation.cancel	FALSE
sorry cancel	smalltalk/confirmation.cancel	FALSE
cancel that one	smalltalk/confirmation.cancel	FALSE
skip skip skip	smalltalk/confirmation.cancel	FALSE
cancel it cancel it	smalltalk/confirmation.cancel	FALSE
cancel that cancel that	smalltalk/confirmation.cancel	FALSE
do nothing	smalltalk/confirmation.cancel	FALSE
I said cancel cancel	smalltalk/confirmation.cancel	FALSE
but can you cancel it	smalltalk/confirmation.cancel	FALSE
how about no	smalltalk/confirmation.no	FALSE
don t have a sense	smalltalk/confirmation.no	FALSE
no	smalltalk/confirmation.no	FALSE
don't	smalltalk/confirmation.no	FALSE
I don't want that	smalltalk/confirmation.no	FALSE
I disagree	smalltalk/confirmation.no	FALSE
disagree	smalltalk/confirmation.no	FALSE
I don't want	smalltalk/confirmation.no	FALSE
not interested	smalltalk/confirmation.no	FALSE
I don't think so	smalltalk/confirmation.no	FALSE
no way	smalltalk/confirmation.no	FALSE
no it isn't	smalltalk/confirmation.no	FALSE
no I don't	smalltalk/confirmation.no	FALSE
I'm not	smalltalk/confirmation.no	FALSE
na	smalltalk/confirmation.no	FALSE
no that's fine thank you	smalltalk/confirmation.no	FALSE
never	smalltalk/confirmation.no	FALSE
I said no	smalltalk/confirmation.no	FALSE
of course not	smalltalk/confirmation.no	FALSE
nah	smalltalk/confirmation.no	FALSE
no tanks	smalltalk/confirmation.no	FALSE
no never	smalltalk/confirmation.no	FALSE
no need	smalltalk/confirmation.no	FALSE
no thanks	smalltalk/confirmation.no	FALSE
no sorry	smalltalk/confirmation.no	FALSE
do not	smalltalk/confirmation.no	FALSE
not today	smalltalk/confirmation.no	FALSE
no it's not	smalltalk/confirmation.no	FALSE
absolutely not	smalltalk/confirmation.no	FALSE
not that	smalltalk/confirmation.no	FALSE
nooo	smalltalk/confirmation.no	FALSE
nope	smalltalk/confirmation.no	FALSE
I don't want to	smalltalk/confirmation.no	FALSE
no I would not	smalltalk/confirmation.no	FALSE
let 's not	smalltalk/confirmation.no	FALSE
not needed	smalltalk/confirmation.no	FALSE
not this time	smalltalk/confirmation.no	FALSE
no don't do that	smalltalk/confirmation.no	FALSE
thanks but no thanks	smalltalk/confirmation.no	FALSE
no that's wrong	smalltalk/confirmation.no	FALSE
not this	smalltalk/confirmation.no	FALSE
definitely not	smalltalk/confirmation.no	FALSE
not at this time	smalltalk/confirmation.no	FALSE
not exactly	smalltalk/confirmation.no	FALSE
no don't	smalltalk/confirmation.no	FALSE
not really no	smalltalk/confirmation.no	FALSE
no thank you not right now	smalltalk/confirmation.no	FALSE
actually no	smalltalk/confirmation.no	FALSE
no leave it	smalltalk/confirmation.no	FALSE
sorry no	smalltalk/confirmation.no	FALSE
no incorrect	smalltalk/confirmation.no	FALSE
nope sorry	smalltalk/confirmation.no	FALSE
I say no	smalltalk/confirmation.no	FALSE
not really	smalltalk/confirmation.no	FALSE
not right now thanks	smalltalk/confirmation.no	FALSE
I think no	smalltalk/confirmation.no	FALSE
absolutely no	smalltalk/confirmation.no	FALSE
no actually	smalltalk/confirmation.no	FALSE
apparently not	smalltalk/confirmation.no	FALSE
no do not	smalltalk/confirmation.no	FALSE
no just no	smalltalk/confirmation.no	FALSE
no but thank you	smalltalk/confirmation.no	FALSE
no need thanks	smalltalk/confirmation.no	FALSE
no thank you though	smalltalk/confirmation.no	FALSE
no thank you very much	smalltalk/confirmation.no	FALSE
no thanks not right now	smalltalk/confirmation.no	FALSE
no forget	smalltalk/confirmation.no	FALSE
wait a second	smalltalk/dialog.hold_on	FALSE
could you wait	smalltalk/dialog.hold_on	FALSE
wait please	smalltalk/dialog.hold_on	FALSE
hold on	smalltalk/dialog.hold_on	FALSE
wait	smalltalk/dialog.hold_on	FALSE
oh wait	smalltalk/dialog.hold_on	FALSE
wait hold on	smalltalk/dialog.hold_on	FALSE
don't rush	smalltalk/dialog.hold_on	FALSE
wanna hug	smalltalk/dialog.hug	FALSE
hug you	smalltalk/dialog.hug	FALSE
do you want a hug	smalltalk/dialog.hug	FALSE
may I hug you	smalltalk/dialog.hug	FALSE
could you give me a hug	smalltalk/dialog.hug	FALSE
I want a hug	smalltalk/dialog.hug	FALSE
hug	smalltalk/dialog.hug	FALSE
hug me	smalltalk/dialog.hug	FALSE
hugged	smalltalk/dialog.hug	FALSE
you hugged	smalltalk/dialog.hug	FALSE
hugging	smalltalk/dialog.hug	FALSE
hugging me	smalltalk/dialog.hug	FALSE
hugged me	smalltalk/dialog.hug	FALSE
want a hug	smalltalk/dialog.hug	FALSE
a hug	smalltalk/dialog.hug	FALSE
I don't care	smalltalk/dialog.i_do_not_care	FALSE
I shouldn't care about this	smalltalk/dialog.i_do_not_care	FALSE
whatever	smalltalk/dialog.i_do_not_care	FALSE
I do not care	smalltalk/dialog.i_do_not_care	FALSE
I don't care at all	smalltalk/dialog.i_do_not_care	FALSE
not caring	smalltalk/dialog.i_do_not_care	FALSE
not care at all	smalltalk/dialog.i_do_not_care	FALSE
don't care at all	smalltalk/dialog.i_do_not_care	FALSE
not caring at all	smalltalk/dialog.i_do_not_care	FALSE
excuse me	smalltalk/dialog.sorry	FALSE
apologise	smalltalk/dialog.sorry	FALSE
I apologize	smalltalk/dialog.sorry	FALSE
sorry	smalltalk/dialog.sorry	FALSE
I'm sorry	smalltalk/dialog.sorry	FALSE
I am so sorry	smalltalk/dialog.sorry	FALSE
my apologies	smalltalk/dialog.sorry	FALSE
apologies	smalltalk/dialog.sorry	FALSE
apologies to me	smalltalk/dialog.sorry	FALSE
apology	smalltalk/dialog.sorry	FALSE
excuse	smalltalk/dialog.sorry	FALSE
I beg your pardon	smalltalk/dialog.sorry	FALSE
pardon	smalltalk/dialog.sorry	FALSE
I said sorry	smalltalk/dialog.sorry	FALSE
I am really sorry	smalltalk/dialog.sorry	FALSE
forgive me	smalltalk/dialog.sorry	FALSE
sorry about that	smalltalk/dialog.sorry	FALSE
sorry about this	smalltalk/dialog.sorry	FALSE
really sorry	smalltalk/dialog.sorry	FALSE
very sorry	smalltalk/dialog.sorry	FALSE
ok sorry	smalltalk/dialog.sorry	FALSE
I want to say sorry	smalltalk/dialog.sorry	FALSE
alright I'm sorry	smalltalk/dialog.sorry	FALSE
okay I'm sorry	smalltalk/dialog.sorry	FALSE
what exactly do you mean	smalltalk/dialog.what_do_you_mean	FALSE
what do you mean	smalltalk/dialog.what_do_you_mean	FALSE
is that what you mean	smalltalk/dialog.what_do_you_mean	FALSE
what do you mean exactly	smalltalk/dialog.what_do_you_mean	FALSE
but what do you mean	smalltalk/dialog.what_do_you_mean	FALSE
that was wrong	smalltalk/dialog.wrong	FALSE
that's not what I asked	smalltalk/dialog.wrong	FALSE
that's wrong	smalltalk/dialog.wrong	FALSE
wrong	smalltalk/dialog.wrong	FALSE
it is not right	smalltalk/dialog.wrong	FALSE
that's not right	smalltalk/dialog.wrong	FALSE
it's wrong	smalltalk/dialog.wrong	FALSE
that is incorrect	smalltalk/dialog.wrong	FALSE
incorrect	smalltalk/dialog.wrong	FALSE
not correct	smalltalk/dialog.wrong	FALSE
you are wrong	smalltalk/dialog.wrong	FALSE
not right	smalltalk/dialog.wrong	FALSE
huh	smalltalk/emotions.ha_ha	FALSE
lol	smalltalk/emotions.ha_ha	FALSE
xd	smalltalk/emotions.ha_ha	FALSE
ha ha	smalltalk/emotions.ha_ha	FALSE
ahahah	smalltalk/emotions.ha_ha	FALSE
ahah lol	smalltalk/emotions.ha_ha	FALSE
laughing out loud	smalltalk/emotions.ha_ha	FALSE
LMAO	smalltalk/emotions.ha_ha	FALSE
that's funny	smalltalk/emotions.ha_ha	FALSE
ah	smalltalk/emotions.ha_ha	FALSE
ah ah ah	smalltalk/emotions.ha_ha	FALSE
ahah	smalltalk/emotions.ha_ha	FALSE
ahaha	smalltalk/emotions.ha_ha	FALSE
ahahaha	smalltalk/emotions.ha_ha	FALSE
ha	smalltalk/emotions.ha_ha	FALSE
ha ha ha	smalltalk/emotions.ha_ha	FALSE
ha ha ha ha	smalltalk/emotions.ha_ha	FALSE
hah	smalltalk/emotions.ha_ha	FALSE
haha	smalltalk/emotions.ha_ha	FALSE
haha funny	smalltalk/emotions.ha_ha	FALSE
haha haha haha	smalltalk/emotions.ha_ha	FALSE
haha that's funny	smalltalk/emotions.ha_ha	FALSE
haha very funny	smalltalk/emotions.ha_ha	FALSE
hahaha	smalltalk/emotions.ha_ha	FALSE
hahaha funny	smalltalk/emotions.ha_ha	FALSE
